"Name","PackageFullName"
"Microsoft.PhotosLegacy","Microsoft.PhotosLegacy_2024.11090.26001.0_x64__8wekyb3d8bbwe"
"Microsoft.ScreenSketch","Microsoft.ScreenSketch_10.2008.3001.0_x64__8wekyb3d8bbwe"
"Microsoft.StorePurchaseApp","Microsoft.StorePurchaseApp_22508.1401.3.0_x64__8wekyb3d8bbwe"
"Microsoft.UI.Xaml.2.0","Microsoft.UI.Xaml.2.0_2.1810.18004.0_x86__8wekyb3d8bbwe"
"Microsoft.UI.Xaml.2.0","Microsoft.UI.Xaml.2.0_2.1810.18004.0_x64__8wekyb3d8bbwe"
"Microsoft.UI.Xaml.2.3","Microsoft.UI.Xaml.2.3_2.32002.13001.0_x64__8wekyb3d8bbwe"
"Microsoft.UI.Xaml.2.3","Microsoft.UI.Xaml.2.3_2.32002.13001.0_x86__8wekyb3d8bbwe"
"Microsoft.UI.Xaml.2.4","Microsoft.UI.Xaml.2.4_2.42007.9001.0_x64__8wekyb3d8bbwe"
"Microsoft.UI.Xaml.2.4","Microsoft.UI.Xaml.2.4_2.42007.9001.0_x86__8wekyb3d8bbwe"
"Microsoft.UI.Xaml.2.7","Microsoft.UI.Xaml.2.7_7.2409.9001.0_x64__8wekyb3d8bbwe"
"Microsoft.UI.Xaml.2.7","Microsoft.UI.Xaml.2.7_7.2409.9001.0_x86__8wekyb3d8bbwe"
"Microsoft.UI.Xaml.2.8","Microsoft.UI.Xaml.2.8_8.2501.31001.0_x86__8wekyb3d8bbwe"
"Microsoft.UI.Xaml.2.8","Microsoft.UI.Xaml.2.8_8.2501.31001.0_x64__8wekyb3d8bbwe"
"Microsoft.VCLibs.110.00.UWPDesktop","Microsoft.VCLibs.110.00.UWPDesktop_11.0.61135.0_x86__8wekyb3d8bbwe"
"Microsoft.VCLibs.110.00.UWPDesktop","Microsoft.VCLibs.110.00.UWPDesktop_11.0.61135.0_x64__8wekyb3d8bbwe"
"Microsoft.VCLibs.120.00","Microsoft.VCLibs.120.00_12.0.21005.1_x86__8wekyb3d8bbwe"
"Microsoft.VCLibs.120.00","Microsoft.VCLibs.120.00_12.0.21005.1_x64__8wekyb3d8bbwe"
"Microsoft.VCLibs.120.00.UWPDesktop","Microsoft.VCLibs.120.00.UWPDesktop_12.0.40653.0_x64__8wekyb3d8bbwe"
"Microsoft.VCLibs.120.00.UWPDesktop","Microsoft.VCLibs.120.00.UWPDesktop_12.0.40653.0_x86__8wekyb3d8bbwe"
"Microsoft.VCLibs.140.00","Microsoft.VCLibs.140.00_14.0.33519.0_x64__8wekyb3d8bbwe"
"Microsoft.VCLibs.140.00","Microsoft.VCLibs.140.00_14.0.33519.0_x86__8wekyb3d8bbwe"
"Microsoft.VCLibs.140.00","Microsoft.VCLibs.140.00_14.0.27323.0_x64__8wekyb3d8bbwe"
"Microsoft.VCLibs.140.00.UWPDesktop","Microsoft.VCLibs.140.00.UWPDesktop_14.0.33728.0_x64__8wekyb3d8bbwe"
"Microsoft.VCLibs.140.00.UWPDesktop","Microsoft.VCLibs.140.00.UWPDesktop_14.0.33728.0_x86__8wekyb3d8bbwe"
"Microsoft.VP9VideoExtensions","Microsoft.VP9VideoExtensions_1.2.6.0_x64__8wekyb3d8bbwe"
"Microsoft.Wallet","Microsoft.Wallet_2.4.18324.0_x64__8wekyb3d8bbwe"
"Microsoft.WebMediaExtensions","Microsoft.WebMediaExtensions_1.2.14.0_x64__8wekyb3d8bbwe"
